Orig Query,New Query,Found,Match Rank,Rank,Probability
medovarce,movarce,1,2,131,4.0920716112532
radisa,aisa,1,3,4,11.1111111111111
gaboltov,gaboto,1,2,16,14.7058823529412
pilkov,pilo,1,1,3,50.0
slovak archives  jewish census 1942 townships and communities slovak archives reel 3  box 189 file 4,slvak archives  jewish census 1942 townships and communities slovak archves reel 3  box 189 file 4,1,1,217,1.66566325506723
slovak archives - jewish census 1942 townships and communities slovak archives reel 4  box 191 file,slovak archves - jewish census 142 townships and communities slovak archives reel 4  box 191 file,1,1,211,1.68120876782294
jakubov,jakuo,1,1,7,24.2424242424242
jews in custody in bratislava in sept 1942,ews in custody in bratislava in spt 1942,1,1,166,15.1479289940828
malcice,mlcie,1,2,13,13.8888888888889
stubove teplice,stuove telice,1,8,96,1.91780821917808
koterbachy,kotebacy,1,1,10,41.6666666666667
zarnovica,znovica,1,39,110,0.995024875621891
budimir,udimr,1,1,5,44.4444444444444
zavada,zavd,1,3,6,26.6666666666667
male zaluzice,male luzice,1,9,141,1.61290322580645
spisske. tomasovce,spisse. tomasovc,1,1,220,5.4176072234763
radvan nad hronom,radvan nad hron,1,1,97,7.55813953488372
velke vozokany,vlke vozokny,1,1,46,11.8143459915612
uhorsky zipov,uhorskyzipv,1,1,54,9.63855421686747
nemecka lupca,nemeka lupc,1,9,70,2.31023102310231
bahoni,bani,0,-,16,0.0
rybany,rbny,0,-,1,NaN
hlinik nad hr.,hlinik nad h,1,34,93,1.40845070422535
dolny lieskov,dolny liesv,1,20,134,1.69851380042463
telgart,telar,1,13,15,2.94117647058824
velke pole,velkeole,1,27,48,1.32013201320132
cigelka,igelk,1,1,38,8.88888888888889
dubodiel a cuklasovce,duodel a cuklasovce,1,1,218,4.35875943000838
andrejov,andeov,1,2,62,5.47945205479452
obeckov,obcko,1,3,6,22.2222222222222
vysnie revistia,vynie rvistia,1,1,61,10.6060606060606
lubisa,uisa,1,1,4,44.4444444444444
spisske  vlachy,pisske  vlach,1,1,78,8.83534136546185
hrusov,usov,1,8,42,4.25531914893617
terchova,tecova,0,-,136,0.294117647058824
cierne klucany,cirn klucany,1,13,82,1.73410404624277
brezova nad bradlom,bezova nad bradom,0,-,219,0.99009900990099
sulovce,suvce,0,-,121,0.961538461538462
ondrasova,onrasva,1,12,23,5.97014925373134
levoca,lvca,0,-,1,NaN
hankovce,hakvce,0,-,121,0.961538461538462
ivanovce,ivanvc,1,2,18,11.7647058823529
horne motesice,hornemoteice,1,19,99,1.39211136890951
slovenske klacany,slovenskeklacan,1,1,192,5.17647058823529
cukalovce,cukalvc,1,1,16,19.3548387096774
pliesovce,plisoce,1,12,19,2.04081632653061
bijacovce,bjacove,1,35,49,1.54639175257732
zliechov,zlieho,1,23,28,2.02020202020202
hostovice,hotovie,1,1,56,4.14507772020725
kalimovo,kaimoo,1,1,5,35.7142857142857
slovak archives  jewish census 1942 townships and communities slovak archives reel 3  box 189 file 6,slovak archives  jewish census 192 townships and communities lovak archives reel 3  box 189 file 6,1,1,213,1.64626424651752
slopna,slpa,0,-,2,0.0
straze nad myjavou,straze ad myjavu,1,1,93,12.6436781609195
banovce nad bebravou,banovce ad bebravo,1,3,232,1.83968462549277
pruzina,ruina,1,21,27,1.28205128205128
moranska zdychava,moranska zdcava,1,1,121,6.2111801242236
dolnie dubove,olnie ubove,1,1,94,6.14035087719298
raztocno,razocn,1,2,10,18.1818181818182
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 184 file 4,slovak archives  jewish censu 1942 ownships and communities	slovak archives reel 2  box 184 file 4,1,1,205,1.70008718395815
